unctad_case_id,case_name,short_case_name,year_of_initiation,italaw_link,applicable_iia,respondent_state,investor_nationality,investment_summary,economic_sector,arbitral_rules,administering_institution,case_status,decisions,amount_claimed_usd,amount_awarded_usd,breaches_alleged,breaches_found,follow_on_proceedings,fetch_status
1334,BA Desarrollos v. Argentina,BA Desarrollos v. Argentina,2023.0,,Argentina - United States BIT (1991),Argentina,United States of America,Details of investment Summary of the dispute,Economic sector | Tertiary: F - Construction | Economic subsector | 41 - Construction of buildings,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1335,Libyan Investment Authority and Libyan Arab Foreign Investment Company v. Belgium (I),Libyan Investment Authority and Libyan Arab Foreign Investment Company v. Belgium (I),2023.0,https://www.italaw.com/cases/11042,BLEU (Belgium-Luxembourg Economic Union) - Libya BIT (2004),Belgium,Libya,Details of investment Summary of the dispute,"Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on Preliminary Objections dated 27 November 2024,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1336,Kellogg v. Venezuela,Kellogg v. Venezuela,2023.0,,"United Kingdom - Venezuela, Bolivarian Republic of BIT (1995)","Venezuela, Bolivarian Republic of",United Kingdom,Details of investment Summary of the dispute,Economic sector | Secondary: C - Manufacturing | Economic subsector | 10 - Manufacture of food products,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1337,Klesch v. EU,Klesch v. EU,2023.0,,The Energy Charter Treaty (1994),European Union,GermanyDenmarkUnited Kingdom,"Details of investment Summary of the dispute Claims arising out of the “solidarity contribution” imposed on the claimants pursuant to the EU’s adoption and enforcement of European Union Council Regulation 2022/1854 of 6 October 2022 on an emergency intervention to address high energy prices. According to the claimants, this subjects them to payment obligations resulting in a substantial economic loss.",Economic sector | Secondary: C - Manufacturing | Economic subsector | 19 - Manufacture of coke and refined petroleum products,ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on Bifurcation dated 8 April 2025,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1338,Belaruskali v. Lithuania,Belaruskali v. Lithuania,2023.0,https://www.italaw.com/cases/11108,Belarus - Lithuania BIT (1999),Lithuania,Belarus,"Details of investment Investment in the transportation, storage and transshipment of chemical products. Summary of the dispute",Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 49 - Land transport and transport via pipelines,UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,12.10 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1339,Amulsar v. Armenia,Amulsar v. Armenia,2023.0,,Armenia - United States BIT (1992),Armenia,United States of America,Details of investment Summary of the dispute,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1340,Telenor v. Myanmar,Telenor v. Myanmar,2023.0,,Myanmar - Singapore BIT (2019),Myanmar,Singapore,Details of investment Summary of the dispute,Economic sector | Tertiary: J - Information and communication | Economic subsector | 61 - Telecommunications,Data not available,Data not available,Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1341,AAFC and Ethiopian Capital v. Ethiopia,AAFC and Ethiopian Capital v. Ethiopia,2022.0,,Ethiopia - Netherlands BIT (2003),Ethiopia,Netherlands,Details of investment Summary of the dispute,"Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings None,success
1342,Sea Search-Armada v. Colombia,Sea Search-Armada v. Colombia,2022.0,https://www.italaw.com/cases/10859,Colombia - United States TPA (2006),Colombia,United States of America,"Details of investment Interests in predecessor companies with an underwater exploration permit to search for shipwrecks within a specified area of Colombia waters, issued by Colombia’s General Directorate of the Maritime and Port Authority in 1980. Summary of the dispute Claims arising out of the Government’s conduct related to the discovery of the shipwreck of the famed Spanish galleon, the San José (Galeón San José), declaring it an asset of national cultural interest in 2020 and contesting the claimant’s entitlement to any share of the treasure. According to the claimant, one of its predecessors-in-interest discovered the shipwreck off the coast of Colombia in the 1980s, which allegedly entitles it to 50% of the value of the treasure.",Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 52 - Warehousing and support activities for transportation,UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Decision on Respondent's Preliminary Objections dated 16 February 2024 (English) Decision on Respondent's Preliminary Objections dated 16 February 2024 (Spanish),10000.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatmentMost-favoured nation treatment",Pending,Type of follow-on proceedings None,success
1343,Lynton v. Ecuador,Lynton v. Ecuador,2022.0,,Ecuador - United States BIT (1993),Ecuador,United States of America,Details of investment Summary of the dispute,"Economic sector | Tertiary: R - Arts, entertainment and recreation | Economic subsector | 92 - Gambling and betting activities",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,100.00 mln USD,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarArbitrary, unreasonable and/or discriminatory measuresIndirect expropriationOther",Pending,Type of follow-on proceedings None,success
1344,Ghella v. Venezuela,Ghella v. Venezuela,2019.0,https://www.italaw.com/cases/9281,Italy - Venezuela Framework Agreement (2001),"Venezuela, Bolivarian Republic of",Italy,Details of investment Summary of the dispute,Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICC (International Chamber of Commerce),ICC (International Chamber of Commerce),Decided in favour of State,Final Award dated 16 March 2022,Data not available,Data not available,"Fair and equitable treatment/Minimum standard of treatment, including denial of justice claimsOther",None - jurisdiction declined,Type of follow-on proceedings None,success
1345,Orla Mining v. Panama,Orla Mining v. Panama,2024.0,https://www.italaw.com/cases/11345,Canada - Panama FTA (2010),Panama,Canada,"Details of investment Mining concessions held through local subsidiary Minera Cerro Quema S.A. for the Cerro Quema Project, a gold and copper deposit located in the Los Santos Province in southwestern Panama. Summary of the dispute Claims arising out of the Government’s cancellation of mining concessions held by the claimant’s subsidiary for the Cerro Quema Project, which includes a pre-feasibility-stage, open-pit, heap leach gold project as well as a copper-gold sulphide resource.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,400.00 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1346,Franco-Nevada v. Panama,Franco-Nevada v. Panama,2024.0,https://www.italaw.com/cases/12649,Canada - Panama FTA (2010),Panama,Canada,"Details of investment Investment in the development of the Cobre Panamá mine, including contributions to the capital costs of the project. Summary of the dispute Claims arising out of a November 2023 ruling of the Supreme Court of Justice of Panama declaring unconstitutional Law 406, which had approved a revised concession contract for the Cobre Panamá mine. According to the claimant, the Supreme Court ruling led to the continued suspension of commercial operations at the Cobre Panamá mine and the halt of precious metal stream deliveries to the claimant, which were due under a stream agreement for gold and silver production from the mine concluded by the claimant with the concession holders.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,5000.00 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1347,Continental Gold v. Colombia,Continental Gold v. Colombia,2024.0,https://www.italaw.com/cases/12647,Canada - Colombia FTA (2008),Colombia,Canada,Details of investment Ownership (100%) of the Buriticá gold mining project in Antioquia. Summary of the dispute,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatment",Pending,Type of follow-on proceedings Data not available,success
1348,EDEMSA v. Honduras,EDEMSA v. Honduras,2024.0,https://www.italaw.com/cases/12510,"Colombia, El Salvador, Guatemala and Honduras FTA (2007)",Honduras,Colombia,Details of investment Investment in electric power distribution services. Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,700.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarUmbrella clauseNational treatment",Pending,Type of follow-on proceedings Data not available,success
1349,Almaden and Almadex v. Mexico,Almaden and Almadex v. Mexico,2024.0,https://www.italaw.com/cases/12208,Comprehensive and Progressive Agreement for Trans-Pacific Partnership (CPTPP) (2018),Mexico,Canada,Details of investment Mineral concessions for the Ixtaca gold and silver mining project. Summary of the dispute Claims arising out of the Government’s alleged actions blocking the development of the Ixtaca mining project and the retroactive termination of the claimants’ mineral concessions.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,1060.10 mln USD,Data not available,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsNational treatmentMost-favoured nation treatment",Pending,Type of follow-on proceedings Data not available,success
1350,Berkeley Exploration v. Spain,Berkeley Exploration v. Spain,2024.0,https://www.italaw.com/cases/11965,The Energy Charter Treaty (1994),Spain,United Kingdom,"Details of investment Exploitation concession held by Berkeley Minera España SA for the Retortillo uranium deposits in the Salamanca province. Summary of the dispute Claims arising out of the Government’s alleged refusal to authorize the construction of a uranium concentrate plant requested by the claimant’s local subsidiary, Berkeley Minera España SA, for the uranium mining site in Retortillo as part of the claimant’s “Salamanca project”.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,1000.00 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1351,Bacanora Lithium and others v. Mexico,Bacanora Lithium and others v. Mexico,2024.0,https://www.italaw.com/cases/12371,China - Mexico BIT (2008) Mexico - United Kingdom BIT (2006),Mexico,ChinaUnited Kingdom,Details of investment Interests in the Sonora lithium project and related mining concessions. Summary of the dispute,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1352,Walnort Finance v. Armenia,Walnort Finance v. Armenia,2024.0,,Armenia - Cyprus BIT (1995),Armenia,Cyprus,"Details of investment Minority interest in Zangezur Copper and Molybdenum Combine (“ZCMC”), a mining company. Summary of the dispute Claims arising out of the Government’s alleged actions to prevent the claimant from exercising shareholder rights in mining company ZCMC.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,1200.00 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1353,MOL v. Croatia (II),MOL v. Croatia (II),2024.0,https://www.italaw.com/cases/12358,The Energy Charter Treaty (1994),Croatia,Hungary,"Details of investment Shareholding (49 per cent) in INA-Industrija nafte d.d., an oil and gas company. Summary of the dispute","Economic sector | Primary: B - Mining and quarrying | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 6 - Extraction of crude petroleum and natural gas | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1354,Eurohold and Euroins v. Romania,Eurohold and Euroins v. Romania,2024.0,,Bulgaria - Romania BIT (1994),Romania,Bulgaria,"Details of investment Investment in an insurance company, Euroins Romania Asiguarare-Reasigurare S.A. (“Euroins Romania”). Summary of the dispute Claims arising out of alleged illegal actions of Government authorities to revoke the licence of the claimants’ local subsidiary, Euroins Romania, and to initiate insolvency proceedings against this insurance company.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 65 - Insurance, reinsurance and pension funding, except compulsory social security",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,500.00 mln EUR (542.90 mln USD),Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1355,NiQuan Energy v. Trinidad and Tobago,NiQuan Energy v. Trinidad and Tobago,2024.0,,Trinidad and Tobago - United States BIT (1994),Trinidad and Tobago,United States of America,Details of investment Summary of the dispute,Economic sector | Secondary: C - Manufacturing | Economic subsector | 19 - Manufacture of coke and refined petroleum products,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1356,Spentech Engineering v. United Arab Emirates,Spentech Engineering v. United Arab Emirates,2024.0,https://www.italaw.com/cases/11573,Kenya - United Arab Emirates BIT (2014),United Arab Emirates,Kenya,"Details of investment Contracts for several construction projects signed with the Embassy of the United Arab Emirates in Mogadishu, including army barracks and a hospital. Summary of the dispute Claims arising out of alleged misconduct by government officials related to construction contracts between the claimant and the Embassy of the United Arab Emirates in Mogadishu.",Economic sector | Tertiary: F - Construction | Economic subsector | 41 - Construction of buildings,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Decided in favour of State,Award dated 28 July 2025,Data not available,Data not available,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similarNational treatmentMost-favoured nation treatmentArbitrary, unreasonable and/or discriminatory measures",None - jurisdiction declined,Type of follow-on proceedings Data not available,success
1357,Ben Ferha v. Belgium,Ben Ferha v. Belgium,2024.0,,Algeria - BLEU (Belgium-Luxembourg Economic Union) BIT (1991),Belgium,Algeria,Details of investment Investment in a local football club. Summary of the dispute,"Economic sector | Tertiary: R - Arts, entertainment and recreation | Economic subsector | 93 - Sports activities and amusement and recreation activities",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1358,Neltume Ports v. Uruguay,Neltume Ports v. Uruguay,2024.0,https://www.italaw.com/cases/11581,Chile - Uruguay BIT (2010),Uruguay,Chile,"Details of investment Ownership of Montecon S.A., an operator of public docks at the Port of Montevideo. Summary of the dispute",Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 52 - Warehousing and support activities for transportation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,600.00 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1359,Lotus v. Turkmenistan (II),Lotus v. Turkmenistan (II),2024.0,,The Energy Charter Treaty (1994),Turkmenistan,Türkiye,Details of investment Summary of the dispute,Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1360,Petaquilla Minerals v. Panama,Petaquilla Minerals v. Panama,2024.0,https://www.italaw.com/cases/11668 ,Canada - Panama FTA (2010),Panama,Canada,"Details of investment Ownership of local subsidiary, Petaquilla Gold S.A., holding a concession for the Molejón gold mine. Summary of the dispute Claims arising out of the Government’s 2015 cancellation of the gold mining concession for the Molejón project held by the claimant’s local subsidiary.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1361,ATCO v. Uruguay,ATCO v. Uruguay,2024.0,https://www.italaw.com/cases/11579 ,Canada - Uruguay BIT (1997),Uruguay,Canada,"Details of investment Indirect shareholding in Montecon S.A., an operator of public docks in the Port of Montevideo, via Neltume Ports S.A. (40% interest). Summary of the dispute",Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 52 - Warehousing and support activities for transportation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,240.00 mln USD,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1362,Kent Kart v. Serbia,Kent Kart v. Serbia,2024.0,https://www.italaw.com/cases/11299,Serbia - Turkey BIT (2001),Serbia,Türkiye,Details of investment Contract with a municipal authority for transportation fare collection services in Belgrade. Summary of the dispute Claims arising out of a municipal authority’s alleged wrongful termination of a contract with the claimants for the operation and maintenance of public transport ticket services under a public-private partnership agreement.,Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 52 - Warehousing and support activities for transportation,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,17.00 mln USD,Data not available,"Indirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsUmbrella clause",Pending,Type of follow-on proceedings Data not available,success
1363,Machado v. Angola,Machado v. Angola,2024.0,https://www.italaw.com/cases/11294,Angola - Portugal BIT (2008),Angola,Portugal,"Details of investment Ownership of local company Aenergy S.A., holding 13 contracts with public entities for the supply and installation of equipment for power plants. Summary of the dispute Claims arising out of the Government’s unilateral termination of contracts signed with the claimant’s company Aenergy and the alleged seizure of four turbines owned by Aenergy.",Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on the Respondent’s Rule 41 Objection dated 29 May 2025,112.80 mln USD,Data not available,"Direct expropriationIndirect expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claims",Pending,Type of follow-on proceedings Data not available,success
1364,Mashad v. Belarus,Mashad v. Belarus,2024.0,https://www.italaw.com/cases/11245 ,Belarus - United Kingdom BIT (1994),Belarus,United Kingdom,"Details of investment Investment in a solar power plant project via an indirect shareholding in locally incorporated company “Solar Land”. Summary of the dispute Claims arising out of the Government’s alleged interference with a solar power plant project operated by locally incorporated company “Solar Land”, which allegedly resulted in the shutdown of the project and the bankruptcy of ""Solar Land"" in which the claimant holds indirect stakes. According to the claimant, the solar power plant was constructed and operated based on an investment agreement concluded by the claimant’s companies with public authorities.","Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1365,Stratius v. Hungary,Stratius v. Hungary,2024.0,https://www.italaw.com/cases/11243,The Energy Charter Treaty (1994),Hungary,Cyprus,Details of investment Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1366,FRV v. Mexico,FRV v. Mexico,2024.0,https://www.italaw.com/cases/11240,Mexico - Spain BIT (2006),Mexico,Spain,Details of investment Investment in a renewable energy generation enterprise. Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Decision on Bifurcation dated 14 April 2025,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1367,Rome Resources and IM v. Mozambique,Rome Resources and IM v. Mozambique,2024.0,https://www.italaw.com/cases/11164 ,Mozambique - United Kingdom BIT (2004),Mozambique,United Kingdom,"Details of investment Shareholding (99,99%) in local subsidiary Companhia Mineira de Nabúri SA with mining concessions for the Naburi and Moebase mineral sands deposits. Summary of the dispute Claims arising out of the Government’s alleged actions and omissions relating to the disputed transfer of mining concession 4623C from the claimants’ wholly-owned local subsidiary to another company without the claimants’ consent.",Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Settled,Award embodying the parties’ settlement agreement dated 30 April 2025,Data not availableAwarded through settlementData not available,,Data not available,Not applicable - settled or discontinued before decision on liability,Type of follow-on proceedings Data not available,success
1368,InfraRed v. Colombia,InfraRed v. Colombia,2024.0,https://www.italaw.com/cases/11669,Colombia - Spain BIT (2005) Colombia - United Kingdom BIT (2010),Colombia,SpainUnited Kingdom,Details of investment Investment in a highway construction project. Summary of the dispute,Economic sector | Tertiary: F - Construction | Economic subsector | 42 - Civil engineering,ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1369,Warburg and others v. Poland,Warburg and others v. Poland,2024.0,https://www.italaw.com/cases/12708  ,Poland - United States BIT (1990),Poland,United States of America,"Details of investment Investment in the Gemini Group of pharmaceutical companies in Poland, including retail operations and franchise. Summary of the dispute","Economic sector | Tertiary: G - Wholesale and retail trade; repair of motor vehicles and motorcycles | Economic subsector | 47 - Retail trade, except of motor vehicles and motorcycles",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1370,Nexo and others v. Bulgaria,Nexo and others v. Bulgaria,2024.0,https://www.italaw.com/cases/11141 ,Bulgaria - Switzerland BIT (1991),Bulgaria,Switzerland,"Details of investment Investment in a services and exchange platform for digital assets, including cryptocurrency. Summary of the dispute Claims arising out of pre-trial criminal investigations initiated by the Sofia City Prosecutor's Office related to the claimants’ financial operations, allegedly causing reputational damage and harming the claimants’ business; the investigations have been terminated without the finding of a crime or evidence of money laundering.","Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1371,Mondi v. Poland,Mondi v. Poland,2024.0,https://www.italaw.com/cases/11160 ,The Energy Charter Treaty (1994),Poland,United Kingdom,Details of investment Investment in a renewable energy generation project. Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",ICSID AF (ICSID Additional Facility),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1372,ABH v. Ukraine,ABH v. Ukraine,2024.0,https://www.italaw.com/cases/11130 ,BLEU (Belgium-Luxembourg Economic Union) - Ukraine BIT (1996),Ukraine,Luxembourg,Details of investment Ownership (100%) of JSC “Alfa-Bank” (renamed JSC “Sense Bank”) in Ukraine as a direct shareholding (57.6%) and an indirect shareholding (42.4%) through a wholly-owned Cypriot subsidiary. Summary of the dispute Claims arising out of the Government’s alleged unlawful expropriation of the claimant’s bank.,"Economic sector | Tertiary: K - Financial and insurance activities | Economic subsector | 64 - Financial service activities, except insurance and pension funding",ICSID (International Centre for Settlement of Investment Disputes),ICSID (International Centre for Settlement of Investment Disputes),Pending,Data not available,1000.00 mln USD,Data not available,"Direct expropriationFair and equitable treatment/Minimum standard of treatment, including denial of justice claimsFull protection and security, or similar",Pending,Type of follow-on proceedings Data not available,success
1373,Fortum v. Russia (I),Fortum v. Russia (I),2024.0,,Netherlands - Russian Federation BIT (1989),Russian Federation,NetherlandsSweden,"Details of investment Indirect shareholding in local subsidiary PAO Fortum (later renamed to “Forward Energo”), including ownership of several power plants and shares in joint ventures. Summary of the dispute Claims arising out of the Government’s alleged unlawful expropriation of the claimant’s assets following Presidential decree No. 302 of 2023.","Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",None (ad hoc),Data not available,Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1374,Fortum v. Russia (II),Fortum v. Russia (II),2024.0,,Netherlands - Russian Federation BIT (1989),Russian Federation,NetherlandsSweden,Details of investment Summary of the dispute,"Economic sector | Tertiary: D - Electricity, gas, steam and air conditioning supply | Economic subsector | 35 - Electricity, gas, steam and air conditioning supply",None (ad hoc),Data not available,Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1375,Indo Gold v. India,Indo Gold v. India,2024.0,https://www.italaw.com/cases/12092,Australia - India BIT (1999),India,Australia,Details of investment Investment in the Bhukia gold mining project in Rajasthan through wholly-owned local subsidiary Metal Mining Pvt Ltd. Summary of the dispute Claims arising out of local authorities’ rejection of the prospecting licence application made by Metal Mining Pvt Ltd for the Bhukia mining project.,Economic sector | Primary: B - Mining and quarrying | Economic subsector | 7 - Mining of metal ores,UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1376,Olayan v. Qatar,Olayan v. Qatar,2022.0,https://www.italaw.com/cases/11682,OIC Investment Agreement (1981),Qatar,Saudi Arabia,Details of investment Summary of the dispute,Economic sector | Tertiary: L - Real estate activities | Economic subsector | 68 - Real estate activities,UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1377,Romero Barst and Rodríguez v. Ecuador,Romero Barst and Rodríguez v. Ecuador,2022.0,https://www.italaw.com/cases/11689,Ecuador - Italy BIT (2001),Ecuador,Italy,Details of investment Summary of the dispute,"Economic sector | Tertiary: R - Arts, entertainment and recreation | Economic subsector | 92 - Gambling and betting activities",UNCITRAL,PCA (Permanent Court of Arbitration),Pending,Data not available,Data not available,Data not available,Data not available,Pending,Type of follow-on proceedings Data not available,success
1378,Ginena v. Egypt,Ginena v. Egypt,2019.0,,Canada - Egypt BIT (1996),Egypt,Canada,Details of investment Summary of the dispute,Economic sector | Tertiary: H - Transportation and storage | Economic subsector | 49 - Land transport and transport via pipelines,UNCITRAL,PCA (Permanent Court of Arbitration),Decided in favour of State,Award dated 2 July 2024,Data not available,Data not available,Data not available,None - all claims dismissed at the merits stage,Type of follow-on proceedings Data not available,success
